voyageid,mjbyptimp,majbyimp,date_dep,mjslptimp,mjselimp,date_end
47660,Costa da Mina,Bight of Benin,1691-08-16,Bahia; port unspecified,Bahia,
46429,Luanda,West Central Africa and St. Helena,1691-01-03,Bahia; port unspecified,Bahia,
46430,Luanda,West Central Africa and St. Helena,1691-02-15,Bahia; port unspecified,Bahia,
46431,Costa da Mina,Bight of Benin,1691-08-??,Bahia; port unspecified,Bahia,
49231,Costa da Mina,Bight of Benin,1691-01-17,Bahia; port unspecified,Bahia,
49232,Costa da Mina,Bight of Benin,1691-01-31,Bahia; port unspecified,Bahia,
99009,Gambia,Senegambia and offshore Atlantic,,,,
20118,Africa.; port unspecified,Other Africa,,Barbados; port unspecified,Barbados,
10054,Ardra,Bight of Benin,1690-09-29,Suriname,Dutch Guianas,
10120,Congo North,West Central Africa and St. Helena,1691-01-03,Curaçao,Dutch Caribbean,1692-06-12
10228,Ardra,Bight of Benin,1690-05-20,Suriname,Dutch Guianas,1691-10-05
10247,Ardra,Bight of Benin,1690-05-18,Essequibo,Dutch Guianas,
11862,,,1691-??-??,Curaçao,Dutch Caribbean,1692-??-??
14904,Calabar,Bight of Biafra and Gulf of Guinea islands,1689-12-11,Jamaica; port unspecified,Jamaica,
14906,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1690-10-10,Jamaica; port unspecified,Jamaica,
14908,Whydah,Bight of Benin,1691-01-07,Jamaica; port unspecified,Jamaica,
14909,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1690-12-06,Jamaica; port unspecified,Jamaica,
9708,Whydah,Bight of Benin,1691-01-07,Barbados; port unspecified,Barbados,
9810,Whydah,Bight of Benin,1689-12-31,Barbados; port unspecified,Barbados,
9811,Gambia,Senegambia and offshore Atlantic,1690-12-16,Barbados; port unspecified,Barbados,
9812,Whydah,Bight of Benin,,Barbados; port unspecified,Barbados,
11542,Congo North,West Central Africa and St. Helena,1691-06-01,Curaçao,Dutch Caribbean,1693-??-??
11543,Congo North,West Central Africa and St. Helena,1691-11-01,Curaçao,Dutch Caribbean,1692-12-03
21056,Gambia,Senegambia and offshore Atlantic,1691-01-15,Barbados; port unspecified,Barbados,
21057,Africa.; port unspecified,Other Africa,,Barbados; port unspecified,Barbados,
21081,Gambia,Senegambia and offshore Atlantic,,Jamaica; port unspecified,Jamaica,
21260,Africa.; port unspecified,Other Africa,1691-09-25,Jamaica; port unspecified,Jamaica,
21261,Africa.; port unspecified,Other Africa,1691-09-25,Jamaica; port unspecified,Jamaica,
20777,Africa.; port unspecified,Other Africa,,Jamaica; port unspecified,Jamaica,
20778,Gambia,Senegambia and offshore Atlantic,,Jamaica; port unspecified,Jamaica,
20779,Gambia,Senegambia and offshore Atlantic,,Jamaica; port unspecified,Jamaica,
21918,Africa.; port unspecified,Other Africa,1690-08-16,St. Eustatius,Dutch Caribbean,
21919,Arguim,Senegambia and offshore Atlantic,1690-08-16,Danish West Indies; colony unspecified,Danish West Indies,
21920,Africa.; port unspecified,Other Africa,1691-??-??,St. Thomas,Danish West Indies,
10262,Ardra,Bight of Benin,1691-01-03,Curaçao,Dutch Caribbean,1692-06-12
35132,Africa.; port unspecified,Other Africa,1691-03-24,St. Thomas,Danish West Indies,
52111,Cacheu,Senegambia and offshore Atlantic,,Maranhão,Amazonia,
20835,Gold Coast; port unspecified,Gold Coast,,,,
48983,Luanda,West Central Africa and St. Helena,1692-12-16,Bahia; port unspecified,Bahia,
48984,Costa da Mina,Bight of Benin,1692-09-17,Bahia; port unspecified,Bahia,
48985,Costa da Mina,Bight of Benin,1692-09-02,Bahia; port unspecified,Bahia,
48986,Costa da Mina,Bight of Benin,1692-12-04,Bahia; port unspecified,Bahia,
48987,São Tomé,Bight of Biafra and Gulf of Guinea islands,1692-09-30,Bahia; port unspecified,Bahia,
48988,Costa da Mina,Bight of Benin,1692-10-18,Bahia; port unspecified,Bahia,
48989,Costa da Mina,Bight of Benin,1692-09-25,Bahia; port unspecified,Bahia,
48990,Costa da Mina,Bight of Benin,1692-08-18,Bahia; port unspecified,Bahia,
50035,Princes Island,Bight of Biafra and Gulf of Guinea islands,1692-??-??,Bahia; port unspecified,Bahia,
50036,São Tomé,Bight of Biafra and Gulf of Guinea islands,1692-03-29,Bahia; port unspecified,Bahia,
47398,São Tomé,Bight of Biafra and Gulf of Guinea islands,1692-03-12,Bahia; port unspecified,Bahia,
47449,São Tomé,Bight of Biafra and Gulf of Guinea islands,1692-??-??,Bahia; port unspecified,Bahia,
47475,Costa da Mina,Bight of Benin,,Bahia; port unspecified,Bahia,
46428,Costa da Mina,Bight of Benin,1692-??-??,Bahia; port unspecified,Bahia,
10037,Ardra,Bight of Benin,1691-06-03,Curaçao,Dutch Caribbean,1692-06-08
10147,Gold Coast; port unspecified,Gold Coast,1690-11-15,Americas; port unspecified,Americas,1692-07-07
10243,Gold Coast; port unspecified,Gold Coast,1692-??-??,Essequibo,Dutch Guianas,1693-??-??
10268,Ardra,Bight of Benin,1691-08-17,Suriname,Dutch Guianas,1693-04-17
11863,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1692-??-??,Americas; port unspecified,Americas,1693-??-??
15078,Whydah,Bight of Benin,1691-12-03,Barbados; port unspecified,Barbados,
15079,Whydah,Bight of Benin,,Martinique; port unspecified,Martinique,
9707,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1692-01-??,Jamaica; port unspecified,Jamaica,
9709,Gambia,Senegambia and offshore Atlantic,,Barbados; port unspecified,Barbados,
9710,Whydah,Bight of Benin,1691-09-??,Barbados; port unspecified,Barbados,
21058,Gambia,Senegambia and offshore Atlantic,,Barbados; port unspecified,Barbados,
21059,,,1692-??-??,,,
21061,Africa.; port unspecified,Other Africa,,Barbados; port unspecified,Barbados,
21082,Africa.; port unspecified,Other Africa,,Jamaica; port unspecified,Jamaica,
21083,Africa.; port unspecified,Other Africa,,Jamaica; port unspecified,Jamaica,
21084,Bight of Biafra and Gulf of Guinea Islands; port unspecified,Bight of Biafra and Gulf of Guinea islands,,Jamaica; port unspecified,Jamaica,
21086,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1691-09-25,Jamaica; port unspecified,Jamaica,
21087,Africa.; port unspecified,Other Africa,,Jamaica; port unspecified,Jamaica,
21195,Gold Coast; port unspecified,Gold Coast,1691-12-15,Martinique; port unspecified,Martinique,
20775,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,,Jamaica; port unspecified,Jamaica,
21921,Africa.; port unspecified,Other Africa,1691-??-??,St. Eustatius,Dutch Caribbean,
21922,Africa.; port unspecified,Other Africa,1691-??-??,St. Thomas,Danish West Indies,
21923,Africa.; port unspecified,Other Africa,1691-??-??,St. Thomas,Danish West Indies,
21924,Africa.; port unspecified,Other Africa,1692-07-25,St. Thomas,Danish West Indies,
21925,Africa.; port unspecified,Other Africa,1692-03-05,St. Thomas,Danish West Indies,
21907,Africa.; port unspecified,Other Africa,,Maryland; port unspecified,Maryland,
33631,Africa.; port unspecified,Other Africa,,Saint-Domingue; port unspecified,Saint-Domingue,
33634,Saint-Louis,Senegambia and offshore Atlantic,1693-03-28,,,
41244,Cacheu,Senegambia and offshore Atlantic,,Maranhão,Amazonia,
52110,Cacheu,Senegambia and offshore Atlantic,,Maranhão,Amazonia,
33754,Africa.; port unspecified,Other Africa,1692-03-13,Martinique; port unspecified,Martinique,
48991,Luanda,West Central Africa and St. Helena,1693-03-11,Bahia; port unspecified,Bahia,
50037,Costa da Mina,Bight of Benin,1693-03-27,Bahia; port unspecified,Bahia,
50038,Luanda,West Central Africa and St. Helena,1693-05-07,Bahia; port unspecified,Bahia,
50039,Costa da Mina,Bight of Benin,1693-08-28,Bahia; port unspecified,Bahia,
50040,Costa da Mina,Bight of Benin,1693-09-01,Bahia; port unspecified,Bahia,
50042,Costa da Mina,Bight of Benin,1693-09-23,Bahia; port unspecified,Bahia,
50043,Costa da Mina,Bight of Benin,1693-09-24,Bahia; port unspecified,Bahia,
47456,Calabar,Bight of Biafra and Gulf of Guinea islands,1693-08-19,Bahia; port unspecified,Bahia,
37011,Madagascar,Southeast Africa and Indian Ocean islands,,,,
26313,Gold Coast; port unspecified,Gold Coast,,,,
15266,Whydah,Bight of Benin,1692-09-30,Barbados; port unspecified,Barbados,
10084,Congo North,West Central Africa and St. Helena,1692-07-27,Curaçao,Dutch Caribbean,1694-04-01
10089,Lay,Bight of Benin,1692-07-24,Curaçao,Dutch Caribbean,1693-11-20
10094,Congo North,West Central Africa and St. Helena,1692-07-28,Suriname,Dutch Guianas,1693-10-??
10303,Bight of Benin; port unspecified,Bight of Benin,1691-11-01,Curaçao,Dutch Caribbean,1693-06-16
9651,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1692-11-??,,,
9703,Whydah,Bight of Benin,1692-09-30,Jamaica; port unspecified,Jamaica,
9704,Whydah,Bight of Benin,1692-12-06,Jamaica; port unspecified,Jamaica,
9705,Sherbro,Sierra Leone,1692-02-09,Saint John (Antigua),Antigua,1694-02-16
9706,Gambia,Senegambia and offshore Atlantic,1692-09-30,Jamaica; port unspecified,Jamaica,
11415,Africa.; port unspecified,Other Africa,,Curaçao,Dutch Caribbean,
11546,Gold Coast; port unspecified,Gold Coast,1693-01-17,Americas; port unspecified,Americas,1694-04-18
11547,Congo North,West Central Africa and St. Helena,1693-05-04,Curaçao,Dutch Caribbean,1694-06-28
21063,Calabar,Bight of Biafra and Gulf of Guinea islands,1692-12-??,Barbados; port unspecified,Barbados,
21065,Accra,Gold Coast,,Barbados; port unspecified,Barbados,
21088,Africa.; port unspecified,Other Africa,,Jamaica; port unspecified,Jamaica,
25711,Calabar,Bight of Biafra and Gulf of Guinea islands,1692-12-??,Port Royal,Jamaica,
25712,Calabar,Bight of Biafra and Gulf of Guinea islands,,,,
20776,Accra,Gold Coast,,Jamaica; port unspecified,Jamaica,
21926,Africa.; port unspecified,Other Africa,1692-??-??,St. Thomas,Danish West Indies,
21927,Africa.; port unspecified,Other Africa,1693-??-??,West Indies (colony unspecified),Other Caribbean,
21928,Africa.; port unspecified,Other Africa,1693-??-??,West Indies (colony unspecified),Other Caribbean,
21929,Africa.; port unspecified,Other Africa,1693-??-??,West Indies (colony unspecified),Other Caribbean,
21930,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1691-??-??,St. Thomas,Danish West Indies,1693-08-??
21931,Africa.; port unspecified,Other Africa,1693-??-??,West Indies (colony unspecified),Other Caribbean,
21932,Africa.; port unspecified,Other Africa,1693-??-??,St. Thomas,Danish West Indies,
21933,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1693-06-13,St. Thomas,Danish West Indies,1693-??-??
21934,Africa.; port unspecified,Other Africa,1693-??-??,St. Thomas,Danish West Indies,
21950,Whydah,Bight of Benin,1692-07-25,St. Thomas,Danish West Indies,
21411,Africa.; port unspecified,Other Africa,1693-03-??,Virginia; port unspecified,Virginia,
40836,Cape Verde Islands,Senegambia and offshore Atlantic,1694-01-25,Paraíba,Pernambuco,
33755,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1693-06-??,Martinique; port unspecified,Martinique,
50044,Luanda,West Central Africa and St. Helena,1694-03-03,Bahia; port unspecified,Bahia,
50045,Costa da Mina,Bight of Benin,1694-06-12,Bahia; port unspecified,Bahia,
50046,Costa da Mina,Bight of Benin,1694-08-??,Bahia; port unspecified,Bahia,
50048,Costa da Mina,Bight of Benin,1694-??-??,Bahia; port unspecified,Bahia,
47388,Costa da Mina,Bight of Benin,1694-??-??,Bahia; port unspecified,Bahia,
47389,Costa da Mina,Bight of Benin,1694-??-??,Bahia; port unspecified,Bahia,
47390,Costa da Mina,Bight of Benin,1694-06-12,Bahia; port unspecified,Bahia,
47391,Costa da Mina,Bight of Benin,1694-06-01,Bahia; port unspecified,Bahia,
47392,São Tomé,Bight of Biafra and Gulf of Guinea islands,1694-07-18,Bahia; port unspecified,Bahia,
47393,Cape Verde Islands,Senegambia and offshore Atlantic,1694-01-25,Paraíba,Pernambuco,
36997,Madagascar,Southeast Africa and Indian Ocean islands,1693-??-??,New York,New York,
15260,Africa.; port unspecified,Other Africa,,Jamaica; port unspecified,Jamaica,
10079,Ardra,Bight of Benin,1693-11-10,Curaçao,Dutch Caribbean,1694-10-26
10133,Congo North,West Central Africa and St. Helena,1693-04-07,Essequibo,Dutch Guianas,1694-04-16
10226,Congo North,West Central Africa and St. Helena,1693-03-25,Curaçao,Dutch Caribbean,1695-08-20
10263,Popo,Bight of Benin,1693-04-19,Curaçao,Dutch Caribbean,1694-05-06
10269,Congo North,West Central Africa and St. Helena,1693-08-07,Curaçao,Dutch Caribbean,1695-09-12
11864,,,1694-??-??,St. Thomas,Danish West Indies,1695-05-??
11866,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1694-12-??,Americas; port unspecified,Americas,1696-??-??
14911,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1693-10-25,Jamaica; port unspecified,Jamaica,
14913,Calabar,Bight of Biafra and Gulf of Guinea islands,1693-10-25,Virginia; port unspecified,Virginia,
14914,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1693-10-25,Jamaica; port unspecified,Jamaica,
9701,Whydah,Bight of Benin,1693-02-14,Barbados; port unspecified,Barbados,
9702,Whydah,Bight of Benin,1693-02-14,Barbados; port unspecified,Barbados,
9711,Gambia,Senegambia and offshore Atlantic,1693-11-19,Jamaica; port unspecified,Jamaica,
9713,Whydah,Bight of Benin,1693-10-25,Jamaica; port unspecified,Jamaica,1695-07-23
9714,Gold Coast; port unspecified,Gold Coast,1693-10-25,Barbados; port unspecified,Barbados,
11548,Congo North,West Central Africa and St. Helena,1694-11-15,Essequibo,Dutch Guianas,1696-07-??
21062,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,,Barbados; port unspecified,Barbados,
21064,Gold Coast; port unspecified,Gold Coast,,Barbados; port unspecified,Barbados,
21089,Africa.; port unspecified,Other Africa,,Jamaica; port unspecified,Jamaica,
21090,Africa.; port unspecified,Other Africa,,Jamaica; port unspecified,Jamaica,
21108,Africa.; port unspecified,Other Africa,,Newcastle (Nevis),Nevis,
21935,Africa.; port unspecified,Other Africa,1693-??-??,St. Thomas,Danish West Indies,
21936,Africa.; port unspecified,Other Africa,1694-??-??,St. Thomas,Danish West Indies,
21937,Africa.; port unspecified,Other Africa,1694-09-04,St. Thomas,Danish West Indies,
21951,Bight of Benin; port unspecified,Bight of Benin,1693-??-??,St. Thomas,Danish West Indies,
21952,Whydah,Bight of Benin,1694-??-??,St. Thomas,Danish West Indies,
21702,Sierra Leone estuary,Sierra Leone,1694-02-??,Barbados; port unspecified,Barbados,
33632,Gambia,Senegambia and offshore Atlantic,,Cayenne,French Guiana,
33635,Africa.; port unspecified,Other Africa,1695-??-??,,,
41225,Cacheu,Senegambia and offshore Atlantic,,Maranhão,Amazonia,
20834,Gambia,Senegambia and offshore Atlantic,1694-12-23,French Caribbean; colony unspecified,Other French Caribbean,
50049,Costa da Mina,Bight of Benin,1695-??-??,Bahia; port unspecified,Bahia,
50050,Costa da Mina,Bight of Benin,1695-06-09,Bahia; port unspecified,Bahia,
50051,Costa da Mina,Bight of Benin,1695-06-25,Bahia; port unspecified,Bahia,
50052,Costa da Mina,Bight of Benin,1695-06-30,Bahia; port unspecified,Bahia,
50053,São Tomé,Bight of Biafra and Gulf of Guinea islands,1695-08-02,Bahia; port unspecified,Bahia,
50054,Costa da Mina,Bight of Benin,1695-09-18,Bahia; port unspecified,Bahia,
50055,Costa da Mina,Bight of Benin,1695-09-03,Bahia; port unspecified,Bahia,
50056,Costa da Mina,Bight of Benin,1695-09-16,Bahia; port unspecified,Bahia,
50057,Costa da Mina,Bight of Benin,1695-11-19,Bahia; port unspecified,Bahia,
50058,Costa da Mina,Bight of Benin,1695-11-05,Bahia; port unspecified,Bahia,
50059,Costa da Mina,Bight of Benin,1695-11-28,Bahia; port unspecified,Bahia,
50060,Costa da Mina,Bight of Benin,1695-??-??,Bahia; port unspecified,Bahia,
50061,Costa da Mina,Bight of Benin,1695-12-22,Bahia; port unspecified,Bahia,
50062,Princes Island,Bight of Biafra and Gulf of Guinea islands,1695-12-10,Bahia; port unspecified,Bahia,
50063,Costa da Mina,Bight of Benin,1695-12-22,Bahia; port unspecified,Bahia,
37012,Madagascar,Southeast Africa and Indian Ocean islands,1695-02-??,,,
26311,Gold Coast; port unspecified,Gold Coast,,,,
20124,Gold Coast; port unspecified,Gold Coast,,Barbados; port unspecified,Barbados,
10090,Ardra,Bight of Benin,1694-06-27,Curaçao,Dutch Caribbean,1695-07-??
10253,Ardra,Bight of Benin,1694-08-12,Essequibo,Dutch Guianas,1696-01-19
10369,Africa.; port unspecified,Other Africa,1694-??-??,Suriname,Dutch Guianas,1696-??-??
9201,Luanda,West Central Africa and St. Helena,,Ilha Grande,Southeast Brazil,
9202,Luanda,West Central Africa and St. Helena,,Ilha Grande,Southeast Brazil,
11865,,,1694-12-??,St. Thomas,Danish West Indies,
14915,Whydah,Bight of Benin,1694-10-12,Barbados; port unspecified,Barbados,
15017,Gambia,Senegambia and offshore Atlantic,1694-07-22,Newcastle (Nevis),Nevis,
9712,Cape Coast Castle,Gold Coast,1694-04-27,Barbados; port unspecified,Barbados,
9715,Gambia,Senegambia and offshore Atlantic,,Newcastle (Nevis),Nevis,
9716,Whydah,Bight of Benin,1694-10-27,Jamaica; port unspecified,Jamaica,
9717,Sherbro,Sierra Leone,1694-12-08,Newcastle (Nevis),Nevis,
11549,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1695-06-02,Curaçao,Dutch Caribbean,1696-06-26
21029,Gold Coast; port unspecified,Gold Coast,,Barbados; port unspecified,Barbados,
21030,Gold Coast; port unspecified,Gold Coast,,Barbados; port unspecified,Barbados,
21091,Whydah,Bight of Benin,,Jamaica; port unspecified,Jamaica,
21113,Bight of Biafra and Gulf of Guinea Islands; port unspecified,Bight of Biafra and Gulf of Guinea islands,,Barbados; port unspecified,Barbados,
21115,Africa.; port unspecified,Other Africa,,Martinique; port unspecified,Martinique,
21938,Africa.; port unspecified,Other Africa,1694-??-??,St. Eustatius,Dutch Caribbean,
21393,Calabar,Bight of Biafra and Gulf of Guinea islands,1694-08-??,Patuxent,Maryland,
21901,Africa.; port unspecified,Other Africa,1694-10-11,Annapolis,Maryland,
15016,Calabar,Bight of Biafra and Gulf of Guinea islands,1694-11-06,Martinique; port unspecified,Martinique,
21676,,,,Barbados; port unspecified,Barbados,
35133,Danish Gold Coast,Gold Coast,,St. Thomas,Danish West Indies,
35134,Danish Gold Coast,Gold Coast,,St. Thomas,Danish West Indies,
35408,Africa.; port unspecified,Other Africa,1696-??-??,Americas; port unspecified,Americas,
35409,Danish Gold Coast,Gold Coast,,St. Thomas,Danish West Indies,1697-03-??
33579,Saint-Louis,Senegambia and offshore Atlantic,,Cayenne,French Guiana,1697-07-??
41226,Cape Verde Islands,Senegambia and offshore Atlantic,,Maranhão,Amazonia,
48909,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,,Bahia; port unspecified,Bahia,
48948,Costa da Mina,Bight of Benin,1696-12-12,Bahia; port unspecified,Bahia,
48996,Costa da Mina,Bight of Benin,1696-01-07,Bahia; port unspecified,Bahia,
50064,Costa da Mina,Bight of Benin,1696-01-16,Bahia; port unspecified,Bahia,
50065,Costa da Mina,Bight of Benin,1696-01-26,Bahia; port unspecified,Bahia,
50066,Costa da Mina,Bight of Benin,1696-01-26,Bahia; port unspecified,Bahia,
50067,Costa da Mina,Bight of Benin,1696-01-26,Bahia; port unspecified,Bahia,
50068,Costa da Mina,Bight of Benin,1696-04-12,Bahia; port unspecified,Bahia,
50069,Costa da Mina,Bight of Benin,1696-05-16,Bahia; port unspecified,Bahia,
50070,Costa da Mina,Bight of Benin,1696-06-05,Bahia; port unspecified,Bahia,
50071,Costa da Mina,Bight of Benin,1696-07-04,Bahia; port unspecified,Bahia,
50072,Costa da Mina,Bight of Benin,1696-08-08,Bahia; port unspecified,Bahia,
50073,Costa da Mina,Bight of Benin,1696-08-09,Bahia; port unspecified,Bahia,
50074,Costa da Mina,Bight of Benin,1696-08-23,Bahia; port unspecified,Bahia,
50075,Costa da Mina,Bight of Benin,1696-08-31,Bahia; port unspecified,Bahia,
50076,Costa da Mina,Bight of Benin,1696-09-11,Bahia; port unspecified,Bahia,
50077,Elmina,Gold Coast,1695-10-16,Bahia; port unspecified,Bahia,
50078,Costa da Mina,Bight of Benin,1696-12-01,Bahia; port unspecified,Bahia,
50079,Costa da Mina,Bight of Benin,1696-09-28,Bahia; port unspecified,Bahia,
50080,Costa da Mina,Bight of Benin,1696-11-05,Bahia; port unspecified,Bahia,
50081,Costa da Mina,Bight of Benin,1696-10-23,Bahia; port unspecified,Bahia,
50082,Costa da Mina,Bight of Benin,1696-12-11,Bahia; port unspecified,Bahia,
46793,,,,,,
36996,Gold Coast; port unspecified,Gold Coast,,,,
20127,Gold Coast; port unspecified,Gold Coast,,Barbados; port unspecified,Barbados,
20128,Africa.; port unspecified,Other Africa,,Barbados; port unspecified,Barbados,
20130,Africa.; port unspecified,Other Africa,,Barbados; port unspecified,Barbados,
20131,Africa.; port unspecified,Other Africa,1695-10-11,Barbados; port unspecified,Barbados,
10064,Congo North,West Central Africa and St. Helena,1695-08-14,Suriname,Dutch Guianas,
10091,Ardra,Bight of Benin,1695-12-19,Suriname,Dutch Guianas,1697-07-01
11868,Mpinda,West Central Africa and St. Helena,1696-??-??,Suriname,Dutch Guianas,1697-??-??
14917,,,1696-11-30,,,
15018,Sierra Leone estuary,Sierra Leone,1695-09-17,Jamaica; port unspecified,Jamaica,
15019,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1695-09-06,Barbados; port unspecified,Barbados,
15020,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1695-09-20,Barbados; port unspecified,Barbados,
15021,Whydah,Bight of Benin,1695-12-20,Barbados; port unspecified,Barbados,
15023,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,1696-07-31,Jamaica; port unspecified,Jamaica,
9726,Whydah,Bight of Benin,1695-11-22,Barbados; port unspecified,Barbados,
21109,Sierra Leone estuary,Sierra Leone,1696-03-17,Newcastle (Nevis),Nevis,
21114,Africa.; port unspecified,Other Africa,1695-06-??,Barbados; port unspecified,Barbados,
21116,Calabar,Bight of Biafra and Gulf of Guinea islands,,Barbados; port unspecified,Barbados,
21117,Gambia,Senegambia and offshore Atlantic,,Barbados; port unspecified,Barbados,
21118,Whydah,Bight of Benin,,Barbados; port unspecified,Barbados,
21126,Africa.; port unspecified,Other Africa,,Jamaica; port unspecified,Jamaica,
21127,Africa.; port unspecified,Other Africa,,Jamaica; port unspecified,Jamaica,
21128,Africa.; port unspecified,Other Africa,,Jamaica; port unspecified,Jamaica,
21236,Africa.; port unspecified,Other Africa,,Montserrat; port unspecified,Montserrat,
21237,Africa.; port unspecified,Other Africa,,Montserrat; port unspecified,Montserrat,
21939,Africa.; port unspecified,Other Africa,1696-07-18,St. Thomas,Danish West Indies,
21394,Africa.; port unspecified,Other Africa,,Maryland; port unspecified,Maryland,
21426,,,,Newport,Rhode Island,
41975,Luanda,West Central Africa and St. Helena,,Venezuela,Spanish Circum-Caribbean,
41976,Cacheu,Senegambia and offshore Atlantic,,Venezuela,Spanish Circum-Caribbean,
41977,Cacheu,Senegambia and offshore Atlantic,,Venezuela,Spanish Circum-Caribbean,
48949,Costa da Mina,Bight of Benin,1697-01-02,Bahia; port unspecified,Bahia,
48950,Costa da Mina,Bight of Benin,1697-09-27,Bahia; port unspecified,Bahia,
48951,Costa da Mina,Bight of Benin,1697-11-18,Bahia; port unspecified,Bahia,
48954,Costa da Mina,Bight of Benin,1697-12-17,Bahia; port unspecified,Bahia,
48955,Costa da Mina,Bight of Benin,1697-11-20,Bahia; port unspecified,Bahia,
48956,Luanda,West Central Africa and St. Helena,1697-11-18,Bahia; port unspecified,Bahia,
48958,Princes Island,Bight of Biafra and Gulf of Guinea islands,1697-12-??,Bahia; port unspecified,Bahia,
48959,Costa da Mina,Bight of Benin,1697-11-19,Bahia; port unspecified,Bahia,
48960,Costa da Mina,Bight of Benin,1697-11-02,Bahia; port unspecified,Bahia,
49829,Luanda,West Central Africa and St. Helena,,Bahia; port unspecified,Bahia,
50083,Costa da Mina,Bight of Benin,1697-01-07,Bahia; port unspecified,Bahia,
50084,Costa da Mina,Bight of Benin,1697-01-19,Bahia; port unspecified,Bahia,
50085,Costa da Mina,Bight of Benin,1697-01-23,Bahia; port unspecified,Bahia,
50086,Princes Island,Bight of Biafra and Gulf of Guinea islands,1697-01-21,Bahia; port unspecified,Bahia,
50088,Costa da Mina,Bight of Benin,1697-02-04,Bahia; port unspecified,Bahia,
50090,Costa da Mina,Bight of Benin,1697-12-14,Bahia; port unspecified,Bahia,
50091,Costa da Mina,Bight of Benin,1697-06-11,Bahia; port unspecified,Bahia,
50092,Costa da Mina,Bight of Benin,1697-06-03,Bahia; port unspecified,Bahia,
50093,Costa da Mina,Bight of Benin,1697-06-10,Bahia; port unspecified,Bahia,
50094,Costa da Mina,Bight of Benin,1697-06-28,Bahia; port unspecified,Bahia,
50095,Costa da Mina,Bight of Benin,1697-08-14,Bahia; port unspecified,Bahia,
50096,Costa da Mina,Bight of Benin,1697-08-27,Bahia; port unspecified,Bahia,
50097,Princes Island,Bight of Biafra and Gulf of Guinea islands,1697-08-23,Bahia; port unspecified,Bahia,
50098,Costa da Mina,Bight of Benin,1697-08-26,Bahia; port unspecified,Bahia,
50099,Costa da Mina,Bight of Benin,1697-09-11,Bahia; port unspecified,Bahia,
50100,Costa da Mina,Bight of Benin,1697-09-28,Bahia; port unspecified,Bahia,
50101,Costa da Mina,Bight of Benin,1697-09-17,Bahia; port unspecified,Bahia,
47385,Cacheu,Senegambia and offshore Atlantic,1697-??-??,West Indies (colony unspecified),Other Caribbean,
47386,Cape Verde Islands,Senegambia and offshore Atlantic,,,,
47387,Costa da Mina,Bight of Benin,1697-??-??,Bahia; port unspecified,Bahia,
47440,Cape Verde Islands,Senegambia and offshore Atlantic,,West Indies (colony unspecified),Other Caribbean,
36998,Madagascar,Southeast Africa and Indian Ocean islands,1695-02-??,New York,New York,
37013,Madagascar,Southeast Africa and Indian Ocean islands,1697-??-??,New York,New York,
49283,Loango,West Central Africa and St. Helena,,Pernambuco; port unspecified,Pernambuco,
49284,Luanda,West Central Africa and St. Helena,,Bahia; port unspecified,Bahia,
49285,Loango,West Central Africa and St. Helena,,Pernambuco; port unspecified,Pernambuco,
49286,Luanda,West Central Africa and St. Helena,,Bahia; port unspecified,Bahia,
20136,Africa.; port unspecified,Other Africa,,Barbados; port unspecified,Barbados,
20137,Africa.; port unspecified,Other Africa,,Barbados; port unspecified,Barbados,
20138,Africa.; port unspecified,Other Africa,,Barbados; port unspecified,Barbados,
20139,Africa.; port unspecified,Other Africa,1696-07-27,Barbados; port unspecified,Barbados,
20140,Africa.; port unspecified,Other Africa,1696-07-17,Barbados; port unspecified,Barbados,
20141,Africa.; port unspecified,Other Africa,,Barbados; port unspecified,Barbados,
20142,Africa.; port unspecified,Other Africa,,Barbados; port unspecified,Barbados,
10152,Ardra,Bight of Benin,1696-07-24,Essequibo,Dutch Guianas,1697-11-??
10155,Ardra,Bight of Benin,1696-07-24,Suriname,Dutch Guianas,1698-03-13
10195,Congo North,West Central Africa and St. Helena,1696-05-15,Suriname,Dutch Guianas,1697-09-11
11867,,,1697-??-??,St. Thomas,Danish West Indies,1698-??-??
11869,,,1697-??-??,St. Eustatius,Dutch Caribbean,1698-06-??
11871,,,1697-??-??,St. Thomas,Danish West Indies,1698-??-??
