voyageid,mjbyptimp,majbyimp,date_dep,mjslptimp,mjselimp,date_end
41963,Portuguese Guinea,Senegambia and offshore Atlantic,,Hispaniola; unspecified,Hispaniola,
41964,Portuguese Guinea,Senegambia and offshore Atlantic,,Hispaniola; unspecified,Hispaniola,
42609,Cape Verde Islands,Senegambia and offshore Atlantic,1575-??-??,New Spain,Spanish Circum-Caribbean,
42650,Cape Verde Islands,Senegambia and offshore Atlantic,1575-??-??,Puerto Rico; port unspecified,Puerto Rico,
29646,São Tomé,Bight of Biafra and Gulf of Guinea islands,1574-??-??,Hispaniola; unspecified,Hispaniola,
28055,Cape Verde Islands,Senegambia and offshore Atlantic,1574-??-??,Cartagena,Spanish Circum-Caribbean,
42670,Cape Verde Islands,Senegambia and offshore Atlantic,1576-??-??,San Domingo (a) Santo Domingo,Hispaniola,
42716,Cape Verde Islands,Senegambia and offshore Atlantic,1576-??-??,New Spain,Spanish Circum-Caribbean,
42866,Cape Verde Islands,Senegambia and offshore Atlantic,1576-??-??,Cartagena,Spanish Circum-Caribbean,
41962,Africa.; port unspecified,Other Africa,,Hispaniola; unspecified,Hispaniola,
42547,Cape Verde Islands,Senegambia and offshore Atlantic,1576-??-??,New Spain,Spanish Circum-Caribbean,
98835,São Tomé,Bight of Biafra and Gulf of Guinea islands,,Pernambuco; port unspecified,Pernambuco,
42715,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1577-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42721,Cape Verde Islands,Senegambia and offshore Atlantic,1577-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42799,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1577-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42536,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1577-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42569,Cape Verde Islands,Senegambia and offshore Atlantic,1577-??-??,New Spain,Spanish Circum-Caribbean,
42638,Cape Verde Islands,Senegambia and offshore Atlantic,1577-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42643,Cape Verde Islands,Senegambia and offshore Atlantic,1577-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42652,Africa.; port unspecified,Other Africa,1577-??-??,New Spain,Spanish Circum-Caribbean,
29530,Cape Verde Islands,Senegambia and offshore Atlantic,,Cartagena,Spanish Circum-Caribbean,
42717,Cape Verde Islands,Senegambia and offshore Atlantic,1578-??-??,New Spain,Spanish Circum-Caribbean,
42720,Africa.; port unspecified,Other Africa,1578-??-??,New Spain,Spanish Circum-Caribbean,
42586,Africa.; port unspecified,Other Africa,1578-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
41680,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41681,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41682,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41683,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41684,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41685,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41686,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41687,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41688,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41689,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41690,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41691,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41692,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41693,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41694,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41695,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41696,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41697,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41698,Africa.; port unspecified,Other Africa,1579-??-??,Spanish Americas; port unspecified,Spanish Americas,
41699,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41700,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41701,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41702,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41703,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41704,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41705,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41706,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41707,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41708,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41709,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41710,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41711,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41712,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41713,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41714,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
42788,Cape Verde Islands,Senegambia and offshore Atlantic,1579-??-??,New Spain,Spanish Circum-Caribbean,
42867,São Tomé,Bight of Biafra and Gulf of Guinea islands,,Ocoa,Hispaniola,
42526,Africa.; port unspecified,Other Africa,1577-??-??,New Spain,Spanish Circum-Caribbean,
42528,Cape Verde Islands,Senegambia and offshore Atlantic,1579-??-??,New Spain,Spanish Circum-Caribbean,
42535,Cape Verde Islands,Senegambia and offshore Atlantic,1579-??-??,New Spain,Spanish Circum-Caribbean,
42555,Cape Verde Islands,Senegambia and offshore Atlantic,1579-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42585,Cape Verde Islands,Senegambia and offshore Atlantic,1579-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
41715,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41716,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41717,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
42557,Cape Verde Islands,Senegambia and offshore Atlantic,1580-??-??,New Spain,Spanish Circum-Caribbean,
41718,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41719,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41720,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41721,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41722,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41723,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41724,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41725,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41726,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41727,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41728,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41729,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41730,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41731,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41732,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41733,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41734,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41735,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41736,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41737,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41738,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41739,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41740,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41741,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41742,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
42868,Africa.; port unspecified,Other Africa,,San Domingo (a) Santo Domingo,Hispaniola,
42974,Africa.; port unspecified,Other Africa,,Havana,Cuba,
42637,Cape Verde Islands,Senegambia and offshore Atlantic,1581-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
41743,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41744,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41745,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41746,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41747,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41748,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41749,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41750,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41751,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41752,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41753,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41754,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41755,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
42713,Cape Verde Islands,Senegambia and offshore Atlantic,1582-??-??,San Domingo (a) Santo Domingo,Hispaniola,
42714,Cape Verde Islands,Senegambia and offshore Atlantic,1582-??-??,New Spain,Spanish Circum-Caribbean,
42731,Cape Verde Islands,Senegambia and offshore Atlantic,1582-??-??,New Spain,Spanish Circum-Caribbean,
42795,Africa.; port unspecified,Other Africa,1582-??-??,,,
42519,Cape Verde Islands,Senegambia and offshore Atlantic,1582-??-??,,,
42534,Cape Verde Islands,Senegambia and offshore Atlantic,1582-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42601,Cape Verde Islands,Senegambia and offshore Atlantic,1582-??-??,Puerto Rico; port unspecified,Puerto Rico,
49522,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,,Bahia; port unspecified,Bahia,
42629,Cape Verde Islands,Senegambia and offshore Atlantic,1582-??-??,New Spain,Spanish Circum-Caribbean,
41756,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41757,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41758,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41759,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41760,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41761,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41762,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41763,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41764,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41765,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41766,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41767,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41768,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41769,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41770,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41771,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
42659,Cape Verde Islands,Senegambia and offshore Atlantic,1583-??-??,Cartagena,Spanish Circum-Caribbean,
42754,Cape Verde Islands,Senegambia and offshore Atlantic,1583-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
42755,Cape Verde Islands,Senegambia and offshore Atlantic,1583-??-??,Margarita,Spanish Circum-Caribbean,
42761,Cape Verde Islands,Senegambia and offshore Atlantic,1583-??-??,Puerto Rico; port unspecified,Puerto Rico,
42869,Africa.; port unspecified,Other Africa,1582-??-??,Ocoa,Hispaniola,
42870,Portuguese Guinea,Senegambia and offshore Atlantic,,San Domingo (a) Santo Domingo,Hispaniola,
42871,São Tomé,Bight of Biafra and Gulf of Guinea islands,,San Domingo (a) Santo Domingo,Hispaniola,
42872,Cape Verde Islands,Senegambia and offshore Atlantic,,San Domingo (a) Santo Domingo,Hispaniola,
42893,São Tomé,Bight of Biafra and Gulf of Guinea islands,,San Domingo (a) Santo Domingo,Hispaniola,
42973,Portuguese Guinea,Senegambia and offshore Atlantic,,Puerto Rico; port unspecified,Puerto Rico,
42654,Cape Verde Islands,Senegambia and offshore Atlantic,1583-??-??,Margarita,Spanish Circum-Caribbean,
41772,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41773,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41774,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
42764,Cape Verde Islands,Senegambia and offshore Atlantic,1584-??-??,New Spain,Spanish Circum-Caribbean,
41926,Africa.; port unspecified,Other Africa,,La Guaira,Spanish Circum-Caribbean,
42649,Cape Verde Islands,Senegambia and offshore Atlantic,1584-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
29645,Africa.; port unspecified,Other Africa,,Hispaniola; unspecified,Hispaniola,
29751,Africa.; port unspecified,Other Africa,1584-??-??,,,
5086,Portuguese Guinea,Senegambia and offshore Atlantic,,Hispaniola; unspecified,Hispaniola,
41775,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
41776,Africa.; port unspecified,Other Africa,,Spanish Americas; port unspecified,Spanish Americas,
