name,latitude,longitude
Denmark / Baltic,55.655943,9.256607
Duchy of Courland,56.888047,22.528091
France,48.953957,2.355158
Great Britain,51.531705,-0.116766
Netherlands,52.386621,4.915832
Other,35.643745,-42.801027
Portugal,38.723937,-9.138918
Portugal / Brazil,38.723937,-9.138918
Spain / Uruguay,37.388172,-5.983899
U.S.A.,40.710417,-74.003721
